productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","Osmadrain Drainage Short Radius Bend 67.5 Degree Single Socket 110mm","https://dam-assets.apps.travisperkins.group/oe0jqgq/GPID_1000199468_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","6794129267","1,1",9.83,"ACTIVE",1,"Building Materials",8.55,"",20
"","OsmaDrain Single Socket Short Radius Bend 11.5° 110mm 4D168","https://dam-assets.apps.travisperkins.group/xw4ym8l/GPID_1000199519_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","3835937842","1,3",18.18,"ACTIVE",3,"Building Materials",15.81,"",20
"","Osmadrain Drainage Double Socket Slip Coupler 110mm","https://dam-assets.apps.travisperkins.group/xw4ymll/GPID_1000199460_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","2967298135","1,10",15.31,"ACTIVE",10,"Building Materials",13.31,"",20
"","OsmaDrain Gully Grating 4D506 (for Universal Gully range)","https://dam-assets.apps.travisperkins.group/KweEg/GPID_1000199487_IMG_00.jpeg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","1974322604","1,7",4.43,"ACTIVE",7,"Building Materials",3.85,"",20
"","OsmaDrain Single Socket Universal Gully Trap 110mm 4D500","https://dam-assets.apps.travisperkins.group/oq4rm25/GPID_1000199483_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","2624733100","1,13",20.04,"ACTIVE",13,"Building Materials",17.43,"",20
"","OsmaDrain Bottle Gully Riser 4D916","https://dam-assets.apps.travisperkins.group/lzbyb/GPID_1000271668_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","7670629714","1,2",7.95,"ACTIVE",2,"Building Materials",6.91,"",20
"","Osmadrain Plain Ended Vertical Inlet Hopper 110mm 4D508","https://dam-assets.apps.travisperkins.group/orm68zr/GPID_1000199489_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","6220722466","1,10",26.93,"ACTIVE",10,"Building Materials",23.42,"",20
"","OsmaDrain Solvent Socket Plain Hopper 110mm 4D503","https://dam-assets.apps.travisperkins.group/xlm29zd/GPID_1000199484_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","8676069087","1,6",10.93,"ACTIVE",6,"Building Materials",9.5,"",20
"","Osma 450mm Universal Inspection Chamber Blank Off Plug for 110mm Inlets 4D926","https://dam-assets.apps.travisperkins.group/oz8yd17/GPID_1000199506_IMG_00.jpg","Osma 450mm diameter Universal Inspection Chamber Range for installations to a maximum of 1.2m (adoptable and non-adoptable)","2685773064","1,15",7.71,"ACTIVE",15,"Building Materials",6.7,"",20
"","Osmadrain Drainage Equal Junction 87 Degree Single Socket 110mm","https://dam-assets.apps.travisperkins.group/x21nj7y/GPID_1000199474_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","5176073386","1,9",28.16,"ACTIVE",9,"Building Materials",24.49,"",20
"","OsmaDrain Single Socket adjustable bend 0-30° 110mm 4D173","https://dam-assets.apps.travisperkins.group/o35m1p5/GPID_1000199525_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","9384808237","1,8",27.11,"ACTIVE",8,"Building Materials",23.57,"",20
"","OsmaDrain 110mm P/E Screwed Access Cover 4D292","https://dam-assets.apps.travisperkins.group/oj0medm/GPID_1000199480_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","9428040887","1,8",14.66,"ACTIVE",8,"Building Materials",12.75,"",20
"","OsmaDrain Double Socket Short Radius Bend 15° 110mm 4D567","https://dam-assets.apps.travisperkins.group/xgyqp0g/GPID_1000199496_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","9980212800","1,16",21.78,"ACTIVE",16,"Building Materials",18.94,"",20
"","OsmaDrain Double Socket Short Radius Bend 30° 110mm 4D566","https://dam-assets.apps.travisperkins.group/xkgm8e7/GPID_1000199495_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","8339216679","1,15",21.78,"ACTIVE",15,"Building Materials",18.94,"",20
"","ACO RainDrain Channel and Galvanised Grating A 15 - 118mm x 97mm x 1000mm","https://dam-assets.apps.travisperkins.group/oq44mpk/GPID_1000389327_IMG_00.jpeg","ACO RainDrain® polymer concrete domestic channel with galvanised steel grating, load class A 15.","6310181318","1,49",20.82,"ACTIVE",49,"Building Materials",18.1,"",20
"","Buildgo Heavy Duty Landscape Fabric 2m x 25m","https://dam-assets.apps.travisperkins.group/V0XmR/GPID_1000797627_IMG_00.jpg","The Buildgo Heavy Duty Landscape Fabric is ideal for garden landscaping when used under chipped barks, flower beds, organic mulches or decorative gravel. Suitable for heavy duty applications, including pathways and landscaping, this fabric is helpful in suppressing and controlling weeds.","3040550043","1,6",22.18,"ACTIVE",6,"Building Materials",19.29,"",20
"","Buildgo Weed Control Landscaping Fabric 1m x 20m","https://dam-assets.apps.travisperkins.group/oq4k91p/GPID_1000797626_IMG_00.jpg","The Buildgo Weed Control Landscape Fabric is ideal for garden landscaping when used under chipped barks, flower beds, organic mulches or decorative gravel. Suitable for heavy duty applications, including pathways and landscaping, this fabric is helpful in suppressing and controlling weeds.","4774919268","1,3",17.70,"ACTIVE",3,"Building Materials",15.39,"",20
"","Buildgo Weed Control Landscape Fabric 2m x 25m","https://dam-assets.apps.travisperkins.group/ymGY4/GPID_1000797695_IMG_00.jpg","The Buildgo Weed Control Landscape Fabric is ideal for garden landscaping when used under chipped barks, flower beds, organic mulches or decorative gravel. Suitable for heavy duty applications, including pathways and landscaping, this fabric is helpful in suppressing and controlling weeds.","9772612683","1,1",46.83,"ACTIVE",1,"Building Materials",40.72,"",20
"","Buildgo Heavy Duty Landscape Fabric 1m x 20m","https://dam-assets.apps.travisperkins.group/6Qy5R/GPID_1000797694_IMG_00.jpg","Ideal for garden landscaping with chipped bark, organic mulches or decorative gravel and suppressing weeds","7974810239","1,5",39.03,"ACTIVE",5,"Building Materials",33.94,"",20
"","ROM Concrete Reinforcement Merchant Steel Metal Fabric Mesh Mini 2.42m x 1.22m","https://dam-assets.apps.travisperkins.group/Evdyy/GPID_1000081443_IMG_00.jpeg","This reliable and robust concrete fabric mesh by ROM is ideal for security on building projects. It is a high quality steel reinforcement for cast concrete applications. It features squared ends to improve handling and safety.","3641140592","1,50",55.45,"ACTIVE",50,"Building Materials",48.22,"",20
"","ROM Concrete Reinforcing Steel Bar High Yield Rebar T10 3000mm x 10mm","https://dam-assets.apps.travisperkins.group/xLOoB/GPID_1000391593_IMG_00.jpeg","This concrete rebar from ROM is a standard reinforcing steel rod designed for use as a tension device in concrete structures to strengthen and hold the concrete together. Versatile and durable, it can be cut to the desired size and welded into position and set in place before concrete is poured.","2747676687","1,98",12.35,"ACTIVE",98,"Building Materials",10.74,"",20
"","ROM Concrete Reinforcement Tying Wire W16M 2kg Coil","https://dam-assets.apps.travisperkins.group/QgEX0/GPID_1000004995_IMG_00.jpeg","Black Annealed 16G, for various types of building projects, due to the technical nature of this product please refer to your local branch for further advice.","3563429209","1,34",38.57,"ACTIVE",34,"Building Materials",33.54,"",20
"","Clark-Drain Manhole Cover and Frame Ductile Iron 600mm x 600mm","https://dam-assets.apps.travisperkins.group/n8006/GPID_1000271577_IMG_00.jpg","Clark-Drain 600 x 600mm clear opening ductile iron manhole cover and frame with D400 load rating classification.","2811345414","1,3",227.95,"ACTIVE",3,"Building Materials",198.22,"",20
"","Clark-Drain Recessed Square To Round Pavior Manhole Cover and Frame 300mm Diameter","https://dam-assets.apps.travisperkins.group/61zzw/GPID_1000271392_IMG_00.jpg","Clark-Drain 300mm diameter clear opening square to round polypropylene recessed cover and frame with 35kN load rating classification.","4165669819","1,3",82.34,"ACTIVE",3,"Building Materials",71.6,"",20
"","Clark-Drain Heavy Duty Manhole Cover Lifting Keys Pair 160 x 70mm","https://dam-assets.apps.travisperkins.group/py99y/GPID_1000005911_IMG_00.jpg","Clark-Drain Heavy Duty Manhole Cover Lifting Keys Pair.","9260123923","1,3",25.33,"ACTIVE",3,"Building Materials",22.03,"",20
"","Clark Drain Recessed Square To Round Pavior Manhole Cover and Frame 450mm Diameter","https://dam-assets.apps.travisperkins.group/l3llg/GPID_1000271391_IMG_00.jpg","Clark-Drain 450mm diameter clear opening square to round galvanised steel recessed cover and polypropylene frame with 10T GPW load rating classification.","2569257080","1,1",96.53,"ACTIVE",1,"Building Materials",83.94,"",20
"","Clark-Drain Manhole Cover and Frame Galvanised Steel 600mm x 600mm 5 Tonne","https://dam-assets.apps.travisperkins.group/zmww3/GPID_1000005913_IMG_00.jpg","Clark-Drain 600 x 600mm clear opening galvanised steel manhole cover with polypropylene frame and 5 Tonne GPW load rating classification.","6811169324","1,3",85.38,"ACTIVE",3,"Building Materials",74.24,"",20
"","Osma 450mm Universal Inspection Chamber Shaft 4D975","https://dam-assets.apps.travisperkins.group/v441dz0/GPID_1000138564_IMG_00.jpg","Osma 450mm diameter Universal Inspection Chamber Range for installations to a maximum of 1.2m (adoptable and non-adoptable)","8283701954","1,6",48.18,"ACTIVE",6,"Building Materials",41.9,"",20
"","Osma 450mm Universal Inspection Chamber Base Straight Channel and 4x110mm Branches 4D922","https://dam-assets.apps.travisperkins.group/xgyqpng/GPID_1000199528_IMG_00.jpg","Osma 450mm diameter Universal Inspection Chamber Range for installations to a maximum of 1.2m (adoptable and non-adoptable)","4890403648","1,2",139.67,"ACTIVE",2,"Building Materials",121.45,"",20
"","Osma 450mm Universal Inspection Chamber BI25 Round Cover & Frame 4D942","https://dam-assets.apps.travisperkins.group/xlm29jd/GPID_1000334701_IMG_00.jpg","Osma 450mm diameter Universal Inspection Chamber Range for installations to a maximum of 1.2m (adoptable and non-adoptable)","5785115314","1,1",124.07,"ACTIVE",1,"Building Materials",107.89,"",20
