productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","12mm x 2440mm x 1220mm CaberMDF Moisture Resistant Trade","https://dam-assets.apps.travisperkins.group/xp8k4dm/GPID_1000071556_IMG_00.jpeg","Moisture resistant MDF is an incredibly versatile panel, with a high internal bond strength, used extensively throughout the construction and furniture industries, for interior applications that may be subject to occasional wetting or humidity.","7839380226","1,112",40.85,"ACTIVE",112,"Timber & Sheet Materials",35.52
"","25mm x 2440mm x 1220mm CaberMDF Trade","https://dam-assets.apps.travisperkins.group/oq4kjd5/GPID_1000382115_IMG_00.jpeg","Trade MDF is an incredibly versatile interior panel, with a high internal bond strength, used extensively throughout the construction and furniture industries, which is up to 20% lighter than standard MDF.","3248774338","1,28",60.31,"ACTIVE",28,"Timber & Sheet Materials",52.44
"","18mm x 2440mm x 1220mm Structural OSB 3","https://dam-assets.apps.travisperkins.group/01Rnv/GPID_1000071569_IMG_00.jpeg","A strong construction board with consistent dimensions, can be used in a range of applications including roof and walls","7217790370","1,152",30.62,"ACTIVE",152,"Timber & Sheet Materials",26.63
"","11mm x 2440mm x 1220mm Structural OSB 3","https://dam-assets.apps.travisperkins.group/x7l9r4l/GPID_1000050889_IMG_00.jpeg","A strong construction board with consistent dimensions, can be used in a range of applications","6152305860","1,203",25.97,"ACTIVE",203,"Timber & Sheet Materials",22.58
"","Buildgo Structural Osb 3 TG4 2400 x 625 x 18mm","https://dam-assets.apps.travisperkins.group/xkg2pjp/GPID_1100896428_IMG_00.jpeg","OSB3 Grade - for structural use in humid conditions. Tongued and grooved on all four sides - Ideal for flooring applications.","7297555936","1,76",33.79,"ACTIVE",76,"Timber & Sheet Materials",29.38
"","18mm x 2400mm x 600mm Caberfloor P5 Tongue and Grooved Moisture Resistant Chipboard Flooring TG4","https://dam-assets.apps.travisperkins.group/XDYdD/GPID_1000262507_IMG_00.jpg","A high-density structural moisture-resistant floor panel designed for both domestic and commercial flooring applications.","6379934699","1,115",19.95,"ACTIVE",115,"Timber & Sheet Materials",17.35
"","22mm x 2400mm x 600mm Caberfloor P5 Tongue and Grooved Moisture Resistant Chipboard Flooring TG4","https://dam-assets.apps.travisperkins.group/R0v1b/GPID_1000262508_IMG_00.jpeg","A high-density structural moisture-resistant floor panel designed for both domestic and commercial flooring applications.","5123052350","1,18",21.25,"ACTIVE",18,"Timber & Sheet Materials",18.48
"","Egger D4 Chipboard Flooring Adhesive 1kg","https://dam-assets.apps.travisperkins.group/erqZV/GPID_1000050910_IMG_00.jpeg","Used for bonding the panels to the joist and within the tongue and groove joint","9969583831","1,2",23.76,"ACTIVE",2,"Timber & Sheet Materials",20.66
"","Caber D4 Chipboard Flooring Adhesive 1kg","https://dam-assets.apps.travisperkins.group/Er6rn/GPID_1000427369_IMG_00.jpeg","Multi-purpose flooring adhesive","7189252263","1,21",31.51,"ACTIVE",21,"Timber & Sheet Materials",27.4
"","15mm x 2440mm x 610mm White Melamine Shelving","https://dam-assets.apps.travisperkins.group/l1wPR/GPID_1000323669_IMG_00.jpeg","A white Melamine faced chipboard, suitable for shelving and other internal applications.","3792095837","1,36",30.54,"ACTIVE",36,"Timber & Sheet Materials",26.56
"","15mm x 2440mm x 381mm White Melamine Shelving","https://dam-assets.apps.travisperkins.group/lZmwq/GPID_1000323666_IMG_00.jpeg","A white Melamine faced chipboard, suitable for shelving and other internal applications.","1973200114","1,41",24.00,"ACTIVE",41,"Timber & Sheet Materials",20.87
"","15mm x 2440mm x 152mm White Melamine Shelving","https://dam-assets.apps.travisperkins.group/MQzdR/GPID_1000323663_IMG_00.jpeg","A white Melamine faced chipboard, suitable for shelving and other internal applications.","1474001426","1,40",8.89,"ACTIVE",40,"Timber & Sheet Materials",7.73
"","15mm x 2440mm x 228mm White Melamine Shelving","https://dam-assets.apps.travisperkins.group/o8rrgl3/GPID_1000323664_IMG_00.jpeg","A white Melamine faced chipboard, suitable for shelving and other internal applications.","6406132344","1,29",9.50,"ACTIVE",29,"Timber & Sheet Materials",8.26
