Item Catagory,Item Description,Item Name,Sell
Building Materials,Manhole Covers & Frames,Cast Iron Stop Tap Boxes 125 X 150mm,12.95
Building Materials,Manhole Covers & Frames,Cast Iron Manhole Cover-600X600X40,99
Building Materials,Manhole Covers & Frames,Cast Iron Manhole Cover-600X450X40,89
Building Materials,Manhole Covers & Frames,Block Paving Tray 600x450x80,75
Building Materials,DPC,100mm X 30m Polythene DPC,6.95
Building Materials,DPC,150mm X 30m Polythene DPC,12.95
Building Materials,DPC,225mm X 30m Polythene DPC,18.95
Building Materials,DPC,300mm X 30m Polythene DPC,19.95
Building Materials,DPC,450mm X 30m Polythene DPC,24.95
Building Materials,DPC,600mm X 30m Polythene DPC,29.95
Building Materials,DPC,100mm X 20m Hi-performance Polymeric DPC,16.95
Building Materials,DPC,150mm X 20m Hi-performance Polymeric DPC,29.95
Building Materials,DPC,225mm X 20m Hi-performance Polymeric DPC,35.95
Building Materials,DPC,300mm X 20m Hi-performance Polymeric DPC,39.95
Building Materials,DPC,450mm X 20m Hi-performance Polymeric DPC,54.95
Building Materials,DPC,600mm X 20m Hi-performance Polymeric DPC,64.95
Building Materials,Membranes,Black Vapour Barrier 125Mu 4M X 25M,45.95
Building Materials,Membranes,Clear Polythene 25M X 4M,24.95
Building Materials,Membranes,1200 Gauge DPM 25M X 4M,49.95
Building Materials,Solid Wall,Box Lintel-200 X 900mm,46.25
Building Materials,Solid Wall,Box Lintel-200 X 1200mm,60.33
Building Materials,Solid Wall,Box Lintel-200 X 1500mm,76.79
Building Materials,Solid Wall,Box Lintel-200 X 1800mm,101.17
Building Materials,Solid Wall,Box Lintel-200 X 2100mm,120.43
Building Materials,Solid Wall,Box Lintel-200 X 2400mm,144.54
Building Materials,Solid Wall,Box Lintel-200 X 2700mm,161.82
Building Materials,Solid Wall,Box Lintel-200 X 3000mm,243.62
Building Materials,Solid Wall,Box Lintel-200 X 3300mm,271.51
Building Materials,Solid Wall,Box Lintel-200 X 3600mm,298.02
Building Materials,Solid Wall,Box Lintel-200 X 3900mm,340.90
Building Materials,Solid Wall,Box Lintel-200 X 4200mm,364.47
Building Materials,Solid Wall,Box Lintel-200 X 4800mm,444.89
Building Materials,Cavity Wall,L1/S-100-900mm - Cavity Lintel,41.56
Building Materials,Cavity Wall,L1/S-100-1200mm - Cavity Lintel,54.95
Building Materials,Cavity Wall,L1/S-100-1500mm - Cavity Lintel,67.91
Building Materials,Cavity Wall,L1/S-100-1800mm - Cavity Lintel,83.79
Building Materials,Cavity Wall,L1/S-100-2100mm - Cavity Lintel,101
Building Materials,Cavity Wall,L1/S-100-2400mm - Cavity Lintel,127.86
Building Materials,Cavity Wall,L1/S-100-2700mm - Cavity Lintel,151
Building Materials,Cavity Wall,L1/S-100-3000mm - Cavity Lintel,189.34
Building Materials,Cavity Wall,L1/S-100 3300mm - Cavity Lintel,235.73
